range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.02,0.2,20,both,False,1730.6403,1486.0439000000001,736.8221,1754.7845,-269.3597,-267.4629,-0.677,0,5,1134.34938
0.05,0.15,20,both,False,1415.6739,1324.01536,771.0434,1734.9426,-584.3261,-584.3261,-2.2297,0,5,1028.8956
0.0,0.2,20,both,False,1422.6243,1317.80154,736.1122,1737.8237,-577.3757,-577.3757,-2.2297,0,5,1010.71704
0.02,0.15,10,both,False,1541.963,1315.8146199999999,592.6381,1828.5905,-458.037,-458.037,0.0,0,5,972.36806
0.02,0.15,20,both,False,1439.4899,1132.94024,523.0261,1591.3494,-560.5101,-560.5101,0.0,0,5,889.6116200000001
0.0,0.15,10,both,False,1389.262,1141.16104,498.1433,1601.91,-610.738,-610.738,0.0,0,5,854.59078
0.05,0.1,10,both,False,1288.8224,1093.73944,553.2103,1504.3525,-711.1776,-711.1776,0.0,0,5,847.45514
0.0,0.15,20,both,False,1017.4306,1030.29438,459.573,1591.7273,-982.5694,-982.5694,0.0,0,5,682.71604
0.05,0.1,20,both,False,913.3375,969.2333999999998,488.849,1548.3075,-1086.6625,-1086.6625,0.0,0,5,658.6444
0.02,0.1,10,both,False,771.1349,896.6583200000001,456.3674,1493.6713,-1228.8651,-1228.8651,0.0,0,5,582.2744
0.02,0.1,20,both,False,588.4793,750.57816,387.2883,1283.657,-1411.5207,-1411.5207,0.0,0,5,467.76469999999995
0.0,0.1,10,both,False,575.3425,819.45946,392.5378,1339.8638,-1424.6575,-1424.6575,0.0,0,5,465.65968
0.05,0.05,10,both,False,581.9414,785.7835600000001,386.8512,1314.2005,-1418.0586,-1418.0586,0.0,0,5,464.88728000000003
0.0,0.1,20,both,False,519.6574,671.35862,384.3473,1129.9802,-1480.3426,-1480.3426,0.0,0,5,438.47134000000005
0.05,0.05,20,both,False,519.0991,660.2444800000001,374.1805,1147.5507,-1480.9009,-1480.9009,0.0,0,5,432.14794
0.02,0.05,10,both,False,418.2675,617.6733,247.6015,1308.3566,-1581.7325,-1566.3587,0.0,0,5,315.86789999999996
0.02,0.05,20,both,False,325.0495,531.70678,225.8972,1177.0345,-1674.9505,-1674.9505,0.0,0,5,265.55812000000003
0.0,0.05,10,both,False,220.9482,390.43503999999996,200.0518,873.7415,-1779.0518,-1779.0518,0.0,0,5,208.41036
0.0,0.05,20,both,False,145.5951,317.42704000000003,96.8409,759.1624,-1854.4049,-1854.4049,0.0,0,5,116.34258
